unique_identifier,amount,date
DANAMON-00080,661.405558,2024-08-14
DANAMON-00081,417.676781,2023-12-18
DANAMON-00082,-166.131556,2024-04-22
DANAMON-00083,279.246338,2023-12-28
DANAMON-00084,-230.986546,2024-01-14
DANAMON-00085,487.973188,2024-04-04
DANAMON-00086,0.795842,2023-09-21
DANAMON-00087,-340.801725,2024-02-25
DANAMON-00088,-677.149731,2024-01-23
DANAMON-00089,-218.034464,2024-07-27
DANAMON-00090,-758.610496,2024-05-23
DANAMON-00091,-304.751456,2024-01-16
DANAMON-00092,-464.107475,2024-06-28
DANAMON-00093,980.473986,2024-06-26
DANAMON-00094,282.474282,2023-12-01
DANAMON-00095,585.581637,2024-06-26
DANAMON-00096,126.078631,2024-06-25
DANAMON-00097,956.900505,2024-06-11
DANAMON-00098,-899.578096,2024-04-16
DANAMON-00099,588.760795,2024-02-11
DANAMON-00100,-768.243583,2023-11-20
DANAMON-00101,-445.107977,2024-02-29
DANAMON-00102,-869.267987,2024-02-22
DANAMON-00103,-604.535158,2024-08-29
DANAMON-00104,319.798827,2023-11-23
DANAMON-00105,429.059861,2024-04-27
DANAMON-00106,682.583826,2024-02-18
DANAMON-00107,977.122383,2024-02-14
DANAMON-00108,-279.916937,2024-07-14
DANAMON-00109,925.449750,2023-12-23
DANAMON-00110,-140.972775,2024-03-18
DANAMON-00111,-299.178828,2024-04-08
DANAMON-00112,-133.696260,2024-03-07
DANAMON-00113,-817.177331,2024-01-13
DANAMON-00114,-852.091697,2024-08-24
DANAMON-00115,-347.598288,2024-02-27
DANAMON-00116,-440.972058,2023-12-05
DANAMON-00117,-870.794563,2024-05-18
DANAMON-00118,-57.027770,2023-12-20
DANAMON-00119,-423.854440,2024-03-15
DANAMON-00120,-934.412650,2024-02-27
DANAMON-00121,-450.590493,2024-08-17
DANAMON-00122,607.775431,2024-03-14
DANAMON-00123,-537.412215,2023-12-30
DANAMON-00124,-476.347136,2024-06-24
DANAMON-00125,92.913152,2024-07-25
DANAMON-00126,-279.676680,2024-04-17
DANAMON-00127,-689.410526,2024-02-28
DANAMON-00128,-134.275391,2024-07-14
DANAMON-00129,-244.148364,2024-05-01
DANAMON-00130,-850.937388,2023-10-28
DANAMON-00131,-51.043948,2024-06-22
DANAMON-00132,275.594297,2024-03-24
DANAMON-00133,530.629794,2024-01-23
DANAMON-00134,591.623369,2024-02-29
DANAMON-00135,-221.722987,2024-08-10
DANAMON-00136,580.375224,2024-04-21
DANAMON-00137,678.315087,2024-07-30
DANAMON-00138,418.664889,2023-12-11
DANAMON-00139,309.943675,2024-03-07
DANAMON-00140,969.251852,2023-11-07
DANAMON-00141,-711.675374,2024-02-17
DANAMON-00142,304.136730,2024-03-16
DANAMON-00143,997.369820,2023-12-10
DANAMON-00144,156.069408,2024-01-10
DANAMON-00145,-429.117365,2023-12-14
DANAMON-00146,277.687039,2024-06-21
DANAMON-00147,446.694634,2023-11-26
DANAMON-00148,941.543879,2024-07-08
DANAMON-00149,267.139660,2024-01-07
DANAMON-00150,-899.891350,2024-04-14
DANAMON-00151,-356.425260,2024-07-19
DANAMON-00152,718.531395,2024-06-25
DANAMON-00153,-889.060576,2024-02-15
DANAMON-00154,-45.264401,2023-12-29
DANAMON-00155,901.691211,2024-01-20
DANAMON-00156,-268.249749,2024-07-25
DANAMON-00157,870.293646,2024-08-13
DANAMON-00158,-840.635584,2024-04-06
DANAMON-00159,681.749603,2024-04-25
DANAMON-00160,754.142367,2024-02-19
DANAMON-00161,961.544854,2024-02-04
DANAMON-00162,664.826627,2023-11-12
DANAMON-00163,414.769671,2024-08-23
DANAMON-00164,-161.946306,2023-10-11
DANAMON-00165,737.136048,2024-06-09
DANAMON-00166,-944.514894,2024-01-01
DANAMON-00167,62.940084,2023-12-13
DANAMON-00168,998.070031,2024-02-09
DANAMON-00169,606.234774,2023-10-04
DANAMON-00170,478.766971,2024-01-07
DANAMON-00171,-249.596915,2023-10-02
DANAMON-00172,-431.569799,2024-03-11
DANAMON-00173,563.966879,2024-08-12
DANAMON-00174,366.013882,2024-06-04
DANAMON-00175,-367.133904,2024-04-03
DANAMON-00176,-661.708659,2024-01-16
DANAMON-00177,-46.122491,2024-06-01
DANAMON-00178,942.121696,2024-06-17
DANAMON-00179,370.907445,2024-06-07
DANAMON-00180,-121.971146,2024-08-14
DANAMON-00181,379.513784,2024-06-01
DANAMON-00182,364.394729,2024-07-18
DANAMON-00183,-721.252448,2023-10-13
DANAMON-00184,-775.734770,2024-08-30
DANAMON-00185,241.936448,2023-12-20
DANAMON-00186,-471.968571,2024-01-27
DANAMON-00187,631.984438,2024-04-06
DANAMON-00188,820.381822,2024-06-18
DANAMON-00189,956.523592,2024-08-19
DANAMON-00190,994.023057,2023-12-06
DANAMON-00191,734.288512,2023-12-17
DANAMON-00192,-723.682146,2023-09-15
DANAMON-00193,-733.458128,2024-05-22
DANAMON-00194,-942.348391,2024-02-16
DANAMON-00195,429.564520,2024-01-06
DANAMON-00196,794.693611,2024-07-17
DANAMON-00197,-832.107080,2023-09-18
DANAMON-00198,-331.678184,2024-06-04
DANAMON-00199,-640.358271,2024-01-06
DANAMON-00200,-951.314218,2024-04-30
DANAMON-00201,790.037829,2024-06-07
DANAMON-00202,760.362870,2023-11-13
DANAMON-00203,-931.514184,2024-07-02
DANAMON-00204,-675.635235,2024-03-14
DANAMON-00205,369.536219,2023-10-21
DANAMON-00206,-427.720207,2023-10-28
DANAMON-00207,-532.030258,2023-12-23
DANAMON-00208,-302.202871,2023-12-08
DANAMON-00209,-630.985296,2024-05-21
DANAMON-00210,842.624780,2023-10-28
DANAMON-00211,120.985638,2024-05-21
DANAMON-00212,-934.446746,2023-11-17
DANAMON-00213,432.068156,2023-12-20
DANAMON-00214,132.677609,2024-07-19
DANAMON-00215,894.489581,2024-01-11
DANAMON-00216,947.116319,2023-10-06
DANAMON-00217,999.878668,2023-12-30
DANAMON-00218,-516.487477,2024-07-31
DANAMON-00219,-50.698346,2023-11-19
DANAMON-00220,-378.947450,2024-03-01
DANAMON-00221,232.273572,2024-08-12
DANAMON-00222,478.431434,2023-09-13
DANAMON-00223,-950.156718,2024-08-02
DANAMON-00224,757.343016,2024-08-18
DANAMON-00225,602.329054,2024-03-08
DANAMON-00226,-388.014922,2023-12-02
DANAMON-00227,-667.562568,2023-12-04
DANAMON-00228,-508.116843,2023-11-07
DANAMON-00229,-996.912168,2023-09-22
DANAMON-00230,-268.019674,2023-11-27
DANAMON-00231,-223.277982,2024-06-15
DANAMON-00232,933.281402,2023-09-27
DANAMON-00233,926.789523,2024-03-28
DANAMON-00234,-197.859151,2024-06-21
DANAMON-00235,-679.588747,2024-04-01
DANAMON-00236,928.695152,2024-07-25
DANAMON-00237,462.978992,2024-04-29
DANAMON-00238,-582.386252,2024-08-04
DANAMON-00239,254.409779,2024-04-14
DANAMON-00240,561.483623,2024-03-03
DANAMON-00241,564.420137,2024-07-30
DANAMON-00242,345.521487,2024-05-15
DANAMON-00243,374.436742,2024-06-27
DANAMON-00244,-819.057160,2023-09-09
DANAMON-00245,-766.268227,2023-11-19
DANAMON-00246,979.406026,2023-10-14
DANAMON-00247,-255.803374,2024-08-03
DANAMON-00248,-255.871160,2024-05-11
DANAMON-00249,-821.704465,2023-12-23
DANAMON-00250,758.596051,2024-01-30
DANAMON-00251,310.784591,2024-02-03
DANAMON-00252,-258.118853,2023-12-03
DANAMON-00253,-589.383931,2023-09-22
DANAMON-00254,-23.689494,2024-02-01
DANAMON-00255,144.963554,2024-07-22
DANAMON-00256,131.508990,2024-03-19
DANAMON-00257,31.390949,2024-03-16
DANAMON-00258,-453.752179,2023-09-08
DANAMON-00259,898.893795,2024-04-25
DANAMON-00260,553.560957,2023-10-11
DANAMON-00261,-550.431330,2023-09-04
DANAMON-00262,-275.394263,2024-06-14
DANAMON-00263,367.714007,2023-09-27
DANAMON-00264,35.595000,2024-06-28
DANAMON-00265,943.473526,2023-12-30
DANAMON-00266,484.763154,2024-08-03
DANAMON-00267,41.118532,2023-09-21
DANAMON-00268,942.411491,2024-04-16
DANAMON-00269,883.851053,2024-02-25
DANAMON-00270,293.966177,2024-07-10
DANAMON-00271,309.257594,2023-12-31
DANAMON-00272,130.321229,2023-11-17
DANAMON-00273,259.238417,2024-05-10
DANAMON-00274,752.845743,2023-12-20
DANAMON-00275,-987.981883,2023-12-31
DANAMON-00276,-735.069236,2024-04-13
DANAMON-00277,490.073103,2024-07-11
DANAMON-00278,581.679743,2024-07-31
DANAMON-00279,887.074628,2023-11-17
DANAMON-00280,-157.907911,2024-05-08
DANAMON-00281,910.360148,2024-04-18
DANAMON-00282,-900.247705,2024-04-07
DANAMON-00283,69.262204,2024-01-03
DANAMON-00284,158.673212,2024-02-27
DANAMON-00285,-553.886220,2023-12-27
DANAMON-00286,189.133558,2024-07-28
DANAMON-00287,-982.785549,2024-02-18
DANAMON-00288,181.646224,2024-05-23
DANAMON-00289,735.497178,2024-01-07
DANAMON-00290,-857.847355,2023-12-10
DANAMON-00291,406.404787,2023-12-19
DANAMON-00292,505.350008,2024-05-30
DANAMON-00293,863.198559,2024-07-16
DANAMON-00294,341.374703,2024-01-10
DANAMON-00295,-363.457703,2024-07-28
DANAMON-00296,-653.778044,2024-01-22
DANAMON-00297,660.179371,2023-12-02
DANAMON-00298,-77.203307,2024-04-08
DANAMON-00299,-381.230720,2024-08-25
DANAMON-00300,-591.231643,2024-04-12
DANAMON-00301,909.750746,2024-06-10
DANAMON-00302,132.436505,2024-04-08
DANAMON-00303,-753.714267,2023-09-29
DANAMON-00304,791.902245,2024-02-17
DANAMON-00305,-817.896328,2024-01-09
DANAMON-00306,106.560803,2023-09-18
DANAMON-00307,-617.574431,2024-03-09
DANAMON-00308,-955.544733,2024-04-16
DANAMON-00309,-179.832110,2024-03-18
DANAMON-00310,657.609494,2024-05-31
DANAMON-00311,-404.054452,2024-02-14
DANAMON-00312,-901.220388,2024-06-26
DANAMON-00313,-677.396795,2023-09-22
DANAMON-00314,-995.299198,2024-02-23
DANAMON-00315,-76.876079,2024-06-17
DANAMON-00316,211.237089,2024-04-05
DANAMON-00317,618.314868,2024-06-07
DANAMON-00318,953.764120,2023-12-29
DANAMON-00319,979.117553,2024-05-29
DANAMON-00320,-131.637449,2024-07-15
DANAMON-00321,668.255871,2024-01-18
DANAMON-00322,658.088879,2024-02-11
DANAMON-00323,-451.227084,2024-03-02
DANAMON-00324,-759.508432,2024-01-09
DANAMON-00325,103.686457,2023-10-09
DANAMON-00326,-844.920429,2024-03-11
DANAMON-00327,-776.075487,2024-02-17
DANAMON-00328,-663.708889,2024-03-07
DANAMON-00329,-981.369171,2024-01-30
DANAMON-00330,-379.185571,2024-08-08
DANAMON-00331,863.006734,2023-12-12
DANAMON-00332,753.128513,2024-02-22
DANAMON-00333,277.959936,2024-08-06
DANAMON-00334,-430.284741,2024-08-20
DANAMON-00335,-252.778355,2023-10-04
DANAMON-00336,477.333585,2023-10-31
DANAMON-00337,895.464981,2024-07-13
DANAMON-00338,647.425602,2023-09-01
DANAMON-00339,-730.657184,2024-06-13
DANAMON-00340,49.676740,2024-07-15
DANAMON-00341,-303.746229,2024-07-20
DANAMON-00342,160.466132,2023-09-20
DANAMON-00343,692.227100,2024-08-14
DANAMON-00344,-378.411317,2024-03-22
DANAMON-00345,670.874472,2024-02-11
DANAMON-00346,836.402238,2024-02-02
DANAMON-00347,-705.076137,2024-04-20
DANAMON-00348,-991.350037,2023-09-27
DANAMON-00349,-932.982572,2024-01-12
DANAMON-00350,823.167964,2023-11-13
DANAMON-00351,777.178771,2024-06-10
DANAMON-00352,375.520153,2023-10-09
DANAMON-00353,875.365041,2024-07-16
DANAMON-00354,-441.823220,2023-12-10
DANAMON-00355,4.133050,2023-12-23
DANAMON-00356,554.175413,2024-04-17
DANAMON-00357,203.746051,2024-03-06
DANAMON-00358,-955.502966,2023-12-28
DANAMON-00359,667.901007,2024-04-30
DANAMON-00360,172.036582,2023-11-17
DANAMON-00361,995.159103,2024-05-04
DANAMON-00362,-982.479900,2024-05-16
DANAMON-00363,-861.807036,2024-07-05
DANAMON-00364,299.697929,2024-02-21
DANAMON-00365,-133.044120,2024-02-20
DANAMON-00366,236.151899,2023-12-26
DANAMON-00367,-158.191993,2023-11-07
DANAMON-00368,-830.144788,2024-05-13
DANAMON-00369,-882.907841,2023-11-25
DANAMON-00370,-129.210653,2023-09-30
DANAMON-00371,-80.196083,2024-05-18
DANAMON-00372,789.628157,2023-12-27
DANAMON-00373,-913.554188,2024-08-20
DANAMON-00374,-507.674583,2024-02-05
DANAMON-00375,-801.584687,2023-12-29
DANAMON-00376,-384.063769,2024-08-08
DANAMON-00377,514.395635,2024-08-13
DANAMON-00378,-857.301701,2023-11-16
DANAMON-00379,-628.712145,2024-08-22
DANAMON-00380,-941.332749,2024-06-24
DANAMON-00381,240.702842,2023-11-25
DANAMON-00382,-673.815850,2024-08-09
DANAMON-00383,-286.198221,2024-01-09
DANAMON-00384,53.199372,2024-08-13
DANAMON-00385,218.663974,2023-10-03
DANAMON-00386,382.445960,2024-01-29
DANAMON-00387,544.752359,2024-02-04
DANAMON-00388,-655.019477,2023-09-27
DANAMON-00389,40.395528,2023-10-16
DANAMON-00390,-208.367002,2023-12-09
DANAMON-00391,-250.051183,2023-12-28
DANAMON-00392,-89.810471,2023-11-12
DANAMON-00393,-932.044828,2024-01-18
DANAMON-00394,-605.988419,2024-04-11
DANAMON-00395,245.970293,2024-05-07
DANAMON-00396,48.931312,2024-06-15
DANAMON-00397,778.908163,2023-09-22
DANAMON-00398,937.064137,2024-05-05
DANAMON-00399,587.151535,2024-01-06
DANAMON-00400,-980.678813,2024-08-27
DANAMON-00401,-218.665091,2023-12-01
DANAMON-00402,-195.461401,2024-07-18
DANAMON-00403,-653.644697,2024-01-24
DANAMON-00404,635.345271,2023-11-12
DANAMON-00405,279.817542,2023-10-22
DANAMON-00406,719.196586,2023-09-27
DANAMON-00407,327.112082,2024-08-22
DANAMON-00408,799.102332,2024-08-19
DANAMON-00409,431.610801,2024-02-24
DANAMON-00410,691.196600,2024-05-12
DANAMON-00411,-986.083358,2023-11-08
DANAMON-00412,317.709424,2024-03-08
DANAMON-00413,660.734965,2023-11-01
DANAMON-00414,879.458404,2024-03-21
DANAMON-00415,-565.573901,2024-07-04
DANAMON-00416,305.148391,2024-01-17
DANAMON-00417,-213.938872,2023-12-17
DANAMON-00418,310.426226,2024-04-12
DANAMON-00419,784.011857,2024-05-31
DANAMON-00420,453.435253,2023-10-21
DANAMON-00421,-670.844165,2024-03-13
DANAMON-00422,655.311782,2023-12-15
DANAMON-00423,-230.551125,2023-10-09
DANAMON-00424,-519.383309,2023-11-22
DANAMON-00425,812.685661,2024-02-26
DANAMON-00426,974.080220,2024-05-30
DANAMON-00427,-775.832528,2024-04-25
DANAMON-00428,-793.785909,2023-12-23
DANAMON-00429,186.726783,2024-04-05
DANAMON-00430,331.499427,2024-02-20
DANAMON-00431,742.774018,2024-05-05
DANAMON-00432,844.377901,2024-05-24
DANAMON-00433,781.002444,2023-10-29
DANAMON-00434,484.974618,2024-04-06
DANAMON-00435,-343.033498,2024-08-28
DANAMON-00436,-123.838113,2023-10-27
DANAMON-00437,-957.823135,2023-09-20
DANAMON-00438,-429.417157,2024-01-31
DANAMON-00439,-167.141858,2024-05-30
DANAMON-00440,-134.456650,2024-06-12
DANAMON-00441,-427.816790,2024-04-08
DANAMON-00442,-670.084614,2024-02-09
DANAMON-00443,-373.252890,2024-08-26
DANAMON-00444,-903.069386,2024-08-11
DANAMON-00445,-514.193941,2024-07-02
DANAMON-00446,624.256390,2024-04-30
DANAMON-00447,-938.084607,2023-11-30
DANAMON-00448,323.728065,2024-02-10
DANAMON-00449,-290.002918,2024-05-11
DANAMON-00450,-789.182455,2023-12-02
DANAMON-00451,766.509188,2023-11-20
DANAMON-00452,865.254233,2023-11-01
DANAMON-00453,-656.775621,2023-10-23
DANAMON-00454,785.923592,2024-01-16
DANAMON-00455,418.362826,2024-07-29
DANAMON-00456,660.343881,2023-11-01
DANAMON-00457,671.533132,2024-04-05
DANAMON-00458,601.924636,2024-06-13
DANAMON-00459,-117.294219,2023-11-09
DANAMON-00460,-18.702700,2024-04-29
DANAMON-00461,282.566174,2024-02-14
DANAMON-00462,729.940928,2023-12-22
DANAMON-00463,528.212782,2023-10-06
DANAMON-00464,364.783455,2024-03-16
DANAMON-00465,941.421842,2024-07-08
DANAMON-00466,347.234483,2023-11-03
DANAMON-00467,-460.923362,2024-03-31
DANAMON-00468,55.007300,2024-05-04
DANAMON-00469,-221.836882,2024-06-25
DANAMON-00470,-872.790748,2024-01-22
DANAMON-00471,2.692378,2024-08-07
DANAMON-00472,-902.388782,2024-04-26
DANAMON-00473,-638.007699,2024-03-31
DANAMON-00474,507.818217,2023-10-11
DANAMON-00475,50.105626,2023-11-02
DANAMON-00476,-713.872888,2024-05-19
DANAMON-00477,-566.891583,2024-04-09
DANAMON-00478,967.583507,2024-06-25
DANAMON-00479,-937.975698,2023-10-14
DANAMON-00480,926.176068,2023-09-23
DANAMON-00481,-291.175702,2024-08-08
DANAMON-00482,566.475589,2024-03-28
DANAMON-00483,397.403993,2024-02-17
DANAMON-00484,413.524094,2024-04-08
DANAMON-00485,442.914259,2023-11-25
DANAMON-00486,278.776574,2023-11-02
DANAMON-00487,696.050786,2023-10-06
DANAMON-00488,-26.520599,2024-07-04
DANAMON-00489,952.874359,2023-09-14
DANAMON-00490,-201.526931,2024-04-20
DANAMON-00491,419.778813,2024-02-05
DANAMON-00492,-293.362081,2024-02-23
DANAMON-00493,114.600212,2024-04-21
DANAMON-00494,884.615399,2024-04-21
DANAMON-00495,418.981705,2024-06-16
DANAMON-00496,-382.692529,2024-05-19
DANAMON-00497,-462.642122,2024-04-23
DANAMON-00498,-238.273324,2024-04-19
DANAMON-00499,277.946182,2024-04-21
DANAMON-00500,148.732134,2023-12-05
DANAMON-00501,120.078593,2024-07-28
DANAMON-00502,312.734159,2024-04-27
DANAMON-00503,-379.608021,2024-01-23
DANAMON-00504,-217.885707,2023-10-22
DANAMON-00505,-739.474295,2024-07-09
DANAMON-00506,853.627587,2024-01-16
DANAMON-00507,909.229541,2023-12-19
DANAMON-00508,31.089001,2024-02-06
DANAMON-00509,-249.266519,2024-01-26
DANAMON-00510,821.155955,2024-04-18
DANAMON-00511,-839.032869,2024-03-02
DANAMON-00512,851.040984,2023-12-16
DANAMON-00513,70.554764,2024-06-06
DANAMON-00514,-516.965812,2023-10-20
DANAMON-00515,-738.616855,2024-08-26
DANAMON-00516,536.913017,2024-03-24
DANAMON-00517,-599.805330,2024-07-31
DANAMON-00518,-956.368940,2023-11-10
DANAMON-00519,-409.745600,2024-04-13
DANAMON-00520,863.080430,2024-06-21
DANAMON-00521,-915.001561,2024-08-14
DANAMON-00522,574.558590,2024-04-29
DANAMON-00523,501.082936,2023-09-05
DANAMON-00524,812.893279,2024-02-24
DANAMON-00525,14.709758,2024-01-30
DANAMON-00526,836.018825,2023-09-25
DANAMON-00527,871.289554,2024-08-23
DANAMON-00528,772.644439,2023-10-22
DANAMON-00529,48.079073,2023-09-16
DANAMON-00530,43.117443,2024-02-29
DANAMON-00531,-34.945812,2024-08-22
DANAMON-00532,-581.733062,2024-06-26
DANAMON-00533,756.634438,2024-02-25
DANAMON-00534,920.092643,2024-03-26
DANAMON-00535,-501.216510,2024-04-08
DANAMON-00536,-828.122278,2024-02-04
DANAMON-00537,-401.822877,2024-07-08
DANAMON-00538,-141.169130,2023-12-18
DANAMON-00539,548.595051,2023-09-03
DANAMON-00540,-123.712593,2024-01-06
DANAMON-00541,-222.954841,2023-11-15
DANAMON-00542,-574.626889,2023-12-10
DANAMON-00543,421.954445,2023-10-07
DANAMON-00544,-732.403698,2023-12-16
DANAMON-00545,-763.075286,2024-03-18
DANAMON-00546,-635.439485,2023-10-22
DANAMON-00547,-677.163281,2024-02-23
DANAMON-00548,-492.262881,2024-06-15
DANAMON-00549,-807.889982,2024-02-02
DANAMON-00550,15.100251,2024-03-23
DANAMON-00551,-404.363217,2023-09-30
DANAMON-00552,211.663214,2024-01-01
DANAMON-00553,279.132332,2023-10-27
DANAMON-00554,122.990001,2024-07-06
DANAMON-00555,680.177720,2024-06-28
DANAMON-00556,-34.113702,2023-12-28
DANAMON-00557,-535.002280,2024-01-24
DANAMON-00558,-393.461343,2023-12-16
DANAMON-00559,-718.995628,2023-11-10
DANAMON-00560,-771.622191,2024-06-15
DANAMON-00561,-522.325362,2024-01-27
DANAMON-00562,-908.111542,2024-07-31
DANAMON-00563,376.849837,2024-02-02
DANAMON-00564,-273.452782,2024-03-15
DANAMON-00565,569.453714,2024-02-16
DANAMON-00566,-262.168640,2024-08-28
DANAMON-00567,-655.298816,2024-01-20
DANAMON-00568,-278.758706,2023-09-04
DANAMON-00569,-263.712451,2024-01-22
DANAMON-00570,-856.852599,2023-09-17
DANAMON-00571,220.577623,2024-05-27
DANAMON-00572,561.611756,2024-03-13
DANAMON-00573,-65.698089,2024-08-14
DANAMON-00574,-764.359562,2024-03-24
DANAMON-00575,193.570274,2024-03-20
DANAMON-00576,-622.661335,2023-11-08
DANAMON-00577,653.214788,2024-01-02
DANAMON-00578,584.332763,2023-11-27
DANAMON-00579,607.649081,2023-10-09
DANAMON-00580,-475.552654,2024-02-11
DANAMON-00581,145.315049,2023-09-28
DANAMON-00582,-310.065629,2023-12-01
DANAMON-00583,-603.947669,2024-01-16
DANAMON-00584,-844.581316,2024-04-09
DANAMON-00585,158.340501,2024-08-13
DANAMON-00586,100.390785,2024-04-12
DANAMON-00587,756.318387,2024-07-18
DANAMON-00588,740.290178,2024-03-10
DANAMON-00589,-915.155621,2023-10-19
DANAMON-00590,287.492907,2024-02-21
DANAMON-00591,-530.762859,2023-12-28
DANAMON-00592,137.174451,2024-06-23
DANAMON-00593,864.476851,2024-04-03
DANAMON-00594,-100.273459,2024-02-04
DANAMON-00595,454.975718,2024-04-12
DANAMON-00596,-435.052448,2023-11-10
DANAMON-00597,626.918250,2024-05-02
DANAMON-00598,-216.659899,2024-07-20
DANAMON-00599,-960.824812,2024-06-27
DANAMON-00600,127.335488,2024-08-21
DANAMON-00601,553.464136,2024-07-05
DANAMON-00602,347.633330,2024-07-15
DANAMON-00603,287.935751,2023-09-02
DANAMON-00604,-786.513755,2024-07-23
DANAMON-00605,-344.246050,2024-02-19
DANAMON-00606,-890.245327,2024-08-24
DANAMON-00607,-426.043052,2024-03-29
DANAMON-00608,-454.086799,2024-01-13
DANAMON-00609,299.893955,2024-03-15
DANAMON-00610,26.644983,2024-02-02
DANAMON-00611,925.320014,2023-12-10
DANAMON-00612,577.968186,2024-01-10
DANAMON-00613,502.998923,2024-06-27
DANAMON-00614,-195.776028,2024-04-27
DANAMON-00615,-204.841613,2024-05-25
DANAMON-00616,-567.438627,2024-02-22
DANAMON-00617,20.619849,2024-03-11
DANAMON-00618,-751.054767,2024-03-08
DANAMON-00619,-118.796850,2024-08-20
DANAMON-00620,131.514767,2023-09-16
DANAMON-00621,283.378933,2024-04-12
DANAMON-00622,981.349113,2024-01-10
DANAMON-00623,867.263145,2023-12-24
DANAMON-00624,86.855061,2024-07-10
DANAMON-00625,400.159083,2023-12-29
DANAMON-00626,-124.046863,2024-06-11
DANAMON-00627,-430.012387,2024-04-15
DANAMON-00628,-593.162254,2023-09-08
DANAMON-00629,99.626518,2024-06-21
DANAMON-00630,-773.687403,2024-06-18
DANAMON-00631,320.966747,2024-01-29
DANAMON-00632,-293.833976,2023-10-25
DANAMON-00633,-686.266549,2024-07-12
DANAMON-00634,945.840750,2023-11-24
DANAMON-00635,-673.410898,2023-12-31
DANAMON-00636,474.101002,2023-09-04
DANAMON-00637,388.478718,2024-05-14
DANAMON-00638,922.613387,2024-03-04
DANAMON-00639,935.042731,2024-08-30
DANAMON-00640,629.965058,2024-02-17
DANAMON-00641,491.248607,2023-11-03
DANAMON-00642,781.217743,2024-06-12
DANAMON-00643,-968.146605,2024-01-14
DANAMON-00644,678.107485,2024-07-08
DANAMON-00645,670.161167,2024-02-10
DANAMON-00646,-141.946352,2024-04-25
DANAMON-00647,-785.235740,2024-07-04
DANAMON-00648,-111.812487,2024-01-20
DANAMON-00649,-500.198111,2024-04-07
